x,y,t,v,angle,id
0,0,0,100,45,DRAG
7.07107,7.07106,0.1,99.3088,45,DRAG
14.1421,14.044,0.2,98.1954,45,DRAG
21.1828,20.8889,0.3,97.0967,45,DRAG
28.1936,27.6066,0.4,96.0124,45,DRAG
35.1748,34.1979,0.5,94.9425,45,DRAG
42.1271,40.6638,0.6,93.8869,45,DRAG
49.0507,47.0049,0.7,92.8455,45,DRAG
55.9463,53.2222,0.8,91.8183,45,DRAG
62.8141,59.3164,0.9,90.8051,45,DRAG
69.6546,65.2883,1,89.806,45,DRAG
76.4682,71.1386,1.1,88.8209,45,DRAG
83.2553,76.868,1.2,87.8497,45,DRAG
90.0163,82.4774,1.3,86.8925,45,DRAG
96.7516,87.9672,1.4,85.9492,45,DRAG
103.462,93.3384,1.5,85.0198,45,DRAG
110.147,98.5914,1.6,84.1042,45,DRAG
116.807,103.727,1.7,83.2026,45,DRAG
123.443,108.746,1.8,82.3148,45,DRAG
130.055,113.648,1.9,81.441,45,DRAG
136.644,118.435,2,80.5811,45,DRAG
143.209,123.108,2.1,79.7352,45,DRAG
149.752,127.665,2.2,78.9034,45,DRAG
156.272,132.109,2.3,78.0855,45,DRAG
162.77,136.44,2.4,77.2818,45,DRAG
169.245,140.657,2.5,76.4922,45,DRAG
175.699,144.763,2.6,75.7169,45,DRAG
182.132,148.757,2.7,74.9559,45,DRAG
188.544,152.64,2.8,74.2092,45,DRAG
194.934,156.412,2.9,73.477,45,DRAG
201.305,160.073,3,72.7593,45,DRAG
207.655,163.626,3.1,72.0563,45,DRAG
213.985,167.068,3.2,71.368,45,DRAG
220.295,170.402,3.3,70.6945,45,DRAG
226.585,173.628,3.4,70.036,45,DRAG
232.857,176.745,3.5,69.3925,45,DRAG
239.109,179.755,3.6,68.7642,45,DRAG
245.343,182.658,3.7,68.1512,45,DRAG
251.558,185.454,3.8,67.5535,45,DRAG
257.755,188.144,3.9,66.9714,45,DRAG
263.934,190.728,4,66.4049,45,DRAG
270.094,193.206,4.1,65.8542,45,DRAG
276.237,195.579,4.2,65.3193,45,DRAG
