x,y,t,v,angle
0,0,0,1000,70
0,0,0.5,1000,70
171.011,468.62,1,995.392,70
342.021,934.787,1.5,990.787,70
513.032,1398.5,2,986.185,70
684.042,1859.76,2.5,981.586,70
855.053,2318.57,3,976.99,70
1026.06,2774.93,3.5,972.397,70
1197.07,3228.84,4,967.807,70
1368.08,3680.29,4.5,963.22,70
1539.1,4129.29,5,958.636,70
1710.11,4575.84,5.5,954.056,70
1881.12,5019.93,6,949.478,70
2052.13,5461.57,6.5,944.904,70
2223.14,5900.76,7,940.333,70
2394.15,6337.5,7.5,935.766,70
2565.16,6771.79,8,931.202,70
2736.17,7203.62,8.5,926.642,70
2907.18,7633,9,922.085,70
3078.19,8059.93,9.5,917.532,70
3249.2,8484.4,10,912.982,70
3420.21,8906.42,10.5,908.436,70
3591.22,9325.99,11,903.894,70
3762.23,9743.11,11.5,899.355,70
3933.24,10157.8,12,894.821,70
4104.25,10570,12.5,890.29,70
4275.26,10979.7,13,885.764,70
4446.27,11387.1,13.5,881.241,70
4617.29,11791.9,14,876.723,70
4788.3,12194.3,14.5,872.208,70
4959.31,12594.3,15,867.698,70
5130.32,12991.8,15.5,863.193,70
5301.33,13386.8,16,858.691,70
5472.34,13779.4,16.5,854.195,70
5643.35,14169.5,17,849.702,70
5814.36,14557.2,17.5,845.214,70
5985.37,14942.5,18,840.731,70
6156.38,15325.2,18.5,836.253,70
6327.39,15705.6,19,831.779,70
6498.4,16083.4,19.5,827.311,70
6669.41,16458.9,20,822.847,70
6840.42,16831.8,20.5,818.388,70
7011.43,17202.4,21,813.935,70
7182.44,17570.4,21.5,809.486,70
7353.45,17936,22,805.043,70
7524.46,18299.2,22.5,800.606,70
7695.48,18659.9,23,796.174,70
7866.49,19018.2,23.5,791.747,70
8037.5,19374,24,787.326,70
8208.51,19727.3,24.5,782.911,70
8379.52,20078.2,25,778.502,70
8550.53,20426.7,25.5,774.099,70
8721.54,20772.7,26,769.701,70
8892.55,21116.2,26.5,765.31,70
9063.56,21457.3,27,760.925,70
9234.57,21795.9,27.5,756.547,70
9405.58,22132.1,28,752.175,70
9576.59,22465.9,28.5,747.81,70
9747.6,22797.1,29,743.451,70
9918.61,23126,29.5,739.1,70
10089.6,23452.3,30,734.755,70
10260.6,23776.3,30.5,730.417,70
10431.6,24097.7,31,726.087,70
10602.7,24416.8,31.5,721.764,70
10773.7,24733.3,32,717.448,70
10944.7,25047.4,32.5,713.141,70
11115.7,25359.1,33,708.84,70
11286.7,25668.3,33.5,704.548,70
11457.7,25975.1,34,700.264,70
11628.7,26279.4,34.5,695.988,70
11799.7,26581.2,35,691.72,70
11970.7,26880.6,35.5,687.461,70
12141.7,27177.5,36,683.21,70
12312.8,27472,36.5,678.969,70
12483.8,27764.1,37,674.736,70
12654.8,28053.7,37.5,670.513,70
12825.8,28340.8,38,666.298,70
12996.8,28625.5,38.5,662.094,70
13167.8,28907.7,39,657.899,70
13338.8,29187.5,39.5,653.714,70
13509.8,29464.8,40,649.539,70
13680.8,29739.7,40.5,645.374,70
13851.9,30012.1,41,641.219,70
14022.9,30282.1,41.5,637.076,70
14193.9,30549.6,42,632.943,70
14364.9,30814.7,42.5,628.821,70
14535.9,31077.3,43,624.711,70
14706.9,31337.4,43.5,620.612,70
14877.9,31595.1,44,616.525,70
15048.9,31850.4,44.5,612.45,70
15219.9,32103.2,45,608.388,70
15391,32353.5,45.5,604.337,70
15562,32601.4,46,600.3,70
15733,32846.9,46.5,596.276,70
15904,33089.9,47,592.264,70
16075,33330.4,47.5,588.267,70
16246,33568.5,48,584.283,70
16417,33804.1,48.5,580.313,70
16588,34037.3,49,576.358,70
16759,34268,49.5,572.417,70
16930,34496.3,50,568.492,70
17101.1,34722.1,50.5,564.581,70
17272.1,34945.5,51,560.687,70
17443.1,35166.4,51.5,556.808,70
