x,y,t,v,angle
0,0,0,45,35
0,0,0.1,45,35
3.68619,2.53204,0.2,44.4446,35
7.37237,4.96598,0.3,43.9041,35
11.0586,7.30183,0.4,43.379,35
14.7447,9.53957,0.5,42.87,35
18.4309,11.6792,0.6,42.3775,35
22.1171,13.7208,0.7,41.9023,35
25.8033,15.6642,0.8,41.4448,35
29.4895,17.5095,0.9,41.0056,35
33.1757,19.2568,1,40.5855,35
36.8619,20.9059,1.1,40.1849,35
40.548,22.457,1.2,39.8045,35
44.2342,23.9099,1.3,39.4447,35
47.9204,25.2647,1.4,39.1063,35
51.6066,26.5215,1.5,38.7898,35
55.2928,27.6801,1.6,38.4957,35
58.979,28.7407,1.7,38.2244,35
62.6652,29.7031,1.8,37.9766,35
66.3513,30.5675,1.9,37.7527,35
70.0375,31.3337,2,37.5531,35
73.7237,32.0018,2.1,37.3781,35
77.4099,32.5719,2.2,37.2282,35
81.0961,33.0438,2.3,37.1036,35
84.7823,33.4177,2.4,37.0047,35
88.4685,33.6934,2.5,36.9315,35
92.1546,33.8711,2.6,36.8843,35
95.8408,33.9506,2.7,36.8631,35
99.527,33.932,2.8,36.8681,35
103.213,33.8154,2.9,36.8991,35
106.899,33.6006,3,36.9561,35
110.586,33.2878,3.1,37.0391,35
114.272,32.8768,3.2,37.1478,35
117.958,32.3677,3.3,37.282,35
121.644,31.7606,3.4,37.4414,35
125.33,31.0553,3.5,37.6257,35
129.016,30.252,3.6,37.8346,35
132.703,29.3505,3.7,38.0676,35
136.389,28.351,3.8,38.3243,35
140.075,27.2533,3.9,38.6043,35
143.761,26.0575,4,38.907,35
147.447,24.7637,4.1,39.2318,35
151.134,23.3717,4.2,39.5784,35
154.82,21.8817,4.3,39.946,35
158.506,20.2935,4.4,40.3341,35
162.192,18.6073,4.5,40.7422,35
165.878,16.8229,4.6,41.1696,35
169.565,14.9404,4.7,41.6157,35
173.251,12.9599,4.8,42.08,35
176.937,10.8812,4.9,42.5618,35
180.623,8.70446,5,43.0606,35
184.309,6.4296,5.1,43.5758,35
187.995,4.05665,5.2,44.1068,35
191.682,1.58559,5.3,44.653,35
194.047,0,5.4,0,35
