x,y,t,v,angle,traj
0,0,0,100,45,1
0,0,0.1,100,45,1
7.07107,7.02201,0.2,99.3088,45,1
14.1421,13.9459,0.3,98.6224,45,1
21.2132,20.7717,0.4,97.9411,45,1
28.2843,27.4995,0.5,97.2649,45,1
35.3554,34.1291,0.6,96.5939,45,1
42.4264,40.6606,0.7,95.9283,45,1
49.4975,47.094,0.8,95.2681,45,1
56.5686,53.4293,0.9,94.6135,45,1
63.6397,59.6665,1,93.9646,45,1
70.7107,65.8056,1.1,93.3215,45,1
77.7818,71.8466,1.2,92.6842,45,1
84.8529,77.7896,1.3,92.0531,45,1
91.9239,83.6344,1.4,91.4281,45,1
98.995,89.3811,1.5,90.8094,45,1
106.066,95.0297,1.6,90.1971,45,1
113.137,100.58,1.7,89.5914,45,1
120.208,106.033,1.8,88.9924,45,1
127.279,111.387,1.9,88.4002,45,1
134.35,116.643,2,87.8149,45,1
141.421,121.801,2.1,87.2368,45,1
148.493,126.861,2.2,86.6659,45,1
155.564,131.823,2.3,86.1024,45,1
162.635,136.687,2.4,85.5465,45,1
169.706,141.453,2.5,84.9982,45,1
176.777,146.12,2.6,84.4578,45,1
183.848,150.69,2.7,83.9254,45,1
190.919,155.161,2.8,83.4011,45,1
197.99,159.535,2.9,82.8851,45,1
205.061,163.81,3,82.3775,45,1
212.132,167.987,3.1,81.8786,45,1
219.203,172.066,3.2,81.3884,45,1
226.274,176.047,3.3,80.9071,45,1
233.345,179.93,3.4,80.4349,45,1
240.416,183.714,3.5,79.972,45,1
247.488,187.401,3.6,79.5185,45,1
254.559,190.989,3.7,79.0746,45,1
261.63,194.48,3.8,78.6403,45,1
268.701,197.872,3.9,78.216,45,1
275.772,201.166,4,77.8018,45,1
282.843,204.363,4.1,77.3977,45,1
289.914,207.461,4.2,77.0041,45,1
296.985,210.46,4.3,76.6209,45,1
304.056,213.362,4.4,76.2485,45,1
311.127,216.166,4.5,75.8869,45,1
318.198,218.872,4.6,75.5363,45,1
325.269,221.479,4.7,75.1969,45,1
332.34,223.989,4.8,74.8689,45,1
339.411,226.4,4.9,74.5522,45,1
346.483,228.713,5,74.2472,45,1
353.554,230.928,5.1,73.954,45,1
360.625,233.045,5.2,73.6726,45,1
367.696,235.064,5.3,73.4033,45,1
374.767,236.985,5.4,73.1461,45,1
381.838,238.808,5.5,72.9013,45,1
388.909,240.532,5.6,72.6688,45,1
395.98,242.159,5.7,72.4489,45,1
403.051,243.687,5.8,72.2417,45,1
410.122,245.117,5.9,72.0472,45,1
417.193,246.45,6,71.8656,45,1
424.264,247.684,6.1,71.6969,45,1
431.335,248.82,6.2,71.5413,45,1
438.406,249.858,6.3,71.3988,45,1
445.478,250.798,6.4,71.2696,45,1
452.549,251.639,6.5,71.1536,45,1
459.62,252.383,6.6,71.051,45,1
466.691,253.028,6.7,70.9618,45,1
473.762,253.576,6.8,70.8861,45,1
480.833,254.025,6.9,70.8239,45,1
487.904,254.376,7,70.7753,45,1
494.975,254.629,7.1,70.7402,45,1
502.046,254.784,7.2,70.7187,45,1
509.117,254.841,7.3,70.7108,45,1
516.188,254.8,7.4,70.7165,45,1
523.259,254.661,7.5,70.7358,45,1
530.33,254.423,7.6,70.7687,45,1
537.402,254.088,7.7,70.8152,45,1
544.473,253.654,7.8,70.8752,45,1
551.544,253.123,7.9,70.9488,45,1
558.615,252.493,8,71.0358,45,1
565.686,251.765,8.1,71.1363,45,1
572.757,250.939,8.2,71.2501,45,1
579.828,250.015,8.3,71.3772,45,1
586.899,248.993,8.4,71.5176,45,1
593.97,247.873,8.5,71.6711,45,1
601.041,246.654,8.6,71.8376,45,1
608.112,245.338,8.7,72.0172,45,1
615.183,243.923,8.8,72.2096,45,1
622.254,242.41,8.9,72.4148,45,1
629.325,240.8,9,72.6327,45,1
636.397,239.091,9.1,72.8632,45,1
643.468,237.284,9.2,73.106,45,1
650.539,235.379,9.3,73.3612,45,1
657.61,233.375,9.4,73.6286,45,1
664.681,231.274,9.5,73.9081,45,1
671.752,229.075,9.6,74.1994,45,1
678.823,226.777,9.7,74.5026,45,1
685.894,224.382,9.8,74.8173,45,1
692.965,221.888,9.9,75.1436,45,1
700.036,219.296,10,75.4812,45,1
707.107,216.606,10.1,75.83,45,1
714.178,213.818,10.2,76.1898,45,1
721.249,210.932,10.3,76.5605,45,1
728.32,207.948,10.4,76.9419,45,1
735.392,204.866,10.5,77.3339,45,1
742.463,201.685,10.6,77.7363,45,1
749.534,198.407,10.7,78.1489,45,1
756.605,195.03,10.8,78.5717,45,1
763.676,191.556,10.9,79.0043,45,1
770.747,187.983,11,79.4467,45,1
777.818,184.312,11.1,79.8987,45,1
784.889,180.543,11.2,80.3601,45,1
791.96,176.676,11.3,80.8308,45,1
799.031,172.711,11.4,81.3106,45,1
806.102,168.647,11.5,81.7994,45,1
813.173,164.486,11.6,82.2969,45,1
820.244,160.227,11.7,82.8031,45,1
827.315,155.869,11.8,83.3178,45,1
834.387,151.413,11.9,83.8408,45,1
841.458,146.859,12,84.3719,45,1
848.529,142.208,12.1,84.9111,45,1
855.6,137.458,12.2,85.4581,45,1
862.671,132.61,12.3,86.0128,45,1
869.742,127.663,12.4,86.5751,45,1
876.813,122.619,12.5,87.1448,45,1
883.884,117.477,12.6,87.7218,45,1
890.955,112.236,12.7,88.3059,45,1
898.026,106.898,12.8,88.897,45,1
905.097,101.461,12.9,89.4949,45,1
912.168,95.9261,13,90.0996,45,1
919.239,90.2932,13.1,90.7108,45,1
926.31,84.5622,13.2,91.3285,45,1
933.382,78.7331,13.3,91.9525,45,1
940.453,72.8059,13.4,92.5827,45,1
947.524,66.7807,13.5,93.2189,45,1
954.595,60.6573,13.6,93.8611,45,1
961.666,54.4358,13.7,94.5091,45,1
968.737,48.1162,13.8,95.1628,45,1
975.808,41.6985,13.9,95.8221,45,1
982.879,35.1827,14,96.4869,45,1
989.95,28.5688,14.1,97.157,45,1
997.021,21.8569,14.2,97.8323,45,1
1004.09,15.0468,14.3,98.5129,45,1
1011.16,8.13858,14.4,99.1984,45,1
1018.23,1.13229,14.5,99.8889,45,1
1019.38,0,14.6,0,45,1
0,0,0,100,55,2
0,0,0.1,100,55,2
5.73577,8.14247,0.2,99.198,55,2
11.4715,16.1868,0.3,98.3993,55,2
17.2073,24.1331,0.4,97.6038,55,2
22.9431,31.9813,0.5,96.8118,55,2
28.6789,39.7313,0.6,96.0233,55,2
34.4146,47.3833,0.7,95.2383,55,2
40.1504,54.9372,0.8,94.457,55,2
45.8862,62.3929,0.9,93.6795,55,2
51.6219,69.7506,1,92.9058,55,2
57.3577,77.0102,1.1,92.1361,55,2
63.0935,84.1716,1.2,91.3704,55,2
68.8293,91.235,1.3,90.6089,55,2
74.565,98.2003,1.4,89.8516,55,2
80.3008,105.067,1.5,89.0987,55,2
86.0366,111.836,1.6,88.3503,55,2
91.7723,118.507,1.7,87.6064,55,2
97.5081,125.08,1.8,86.8673,55,2
103.244,131.555,1.9,86.133,55,2
108.98,137.932,2,85.4036,55,2
114.715,144.21,2.1,84.6794,55,2
120.451,150.391,2.2,83.9603,55,2
126.187,156.473,2.3,83.2466,55,2
131.923,162.457,2.4,82.5384,55,2
137.659,168.344,2.5,81.8358,55,2
143.394,174.132,2.6,81.139,55,2
149.13,179.822,2.7,80.4481,55,2
154.866,185.413,2.8,79.7633,55,2
160.602,190.907,2.9,79.0848,55,2
166.337,196.303,3,78.4126,55,2
172.073,201.6,3.1,77.747,55,2
177.809,206.8,3.2,77.0882,55,2
183.545,211.901,3.3,76.4362,55,2
189.28,216.905,3.4,75.7914,55,2
195.016,221.81,3.5,75.1538,55,2
200.752,226.617,3.6,74.5237,55,2
206.488,231.326,3.7,73.9012,55,2
212.224,235.937,3.8,73.2866,55,2
217.959,240.449,3.9,72.68,55,2
223.695,244.864,4,72.0817,55,2
229.431,249.181,4.1,71.4918,55,2
235.167,253.399,4.2,70.9106,55,2
240.902,257.519,4.3,70.3382,55,2
246.638,261.542,4.4,69.775,55,2
252.374,265.466,4.5,69.2211,55,2
258.11,269.292,4.6,68.6767,55,2
263.845,273.02,4.7,68.1421,55,2
269.581,276.65,4.8,67.6175,55,2
275.317,280.182,4.9,67.1032,55,2
281.053,283.615,5,66.5993,55,2
286.789,286.951,5.1,66.1062,55,2
292.524,290.188,5.2,65.624,55,2
298.26,293.328,5.3,65.153,55,2
