x,y,t,v,angle,id
0,0,0,45,45,DRAG
3.18198,3.18198,0.1,44.3118,45,DRAG
6.36397,6.26586,0.2,43.4458,45,DRAG
9.53238,9.23849,0.3,42.599,45,DRAG
12.6876,12.1006,0.4,41.7716,45,DRAG
15.8298,14.8529,0.5,40.964,45,DRAG
18.9594,17.496,0.6,40.1766,45,DRAG
22.0767,20.0306,0.7,39.4098,45,DRAG
25.1819,22.4573,0.8,38.664,45,DRAG
28.2754,24.7767,0.9,37.9398,45,DRAG
31.3573,26.9893,1,37.2378,45,DRAG
34.428,29.0958,1.1,36.5584,45,DRAG
37.4877,31.0967,1.2,35.9022,45,DRAG
40.5366,32.9924,1.3,35.2701,45,DRAG
43.5751,34.7835,1.4,34.6625,45,DRAG
46.6031,36.4703,1.5,34.0803,45,DRAG
49.6211,38.0535,1.6,33.5241,45,DRAG
52.6292,39.5334,1.7,32.9947,45,DRAG
55.6276,40.9104,1.8,32.4928,45,DRAG
58.6165,42.1849,1.9,32.0191,45,DRAG
61.596,43.3573,2,31.5745,45,DRAG
64.5664,44.428,2.1,31.1595,45,DRAG
67.5277,45.3974,2.2,30.7751,45,DRAG
70.4802,46.2658,2.3,30.4217,45,DRAG
73.4239,47.0335,2.4,30.1001,45,DRAG
76.359,47.7008,2.5,29.8108,45,DRAG
79.2856,48.2681,2.6,29.5543,45,DRAG
82.2038,48.7357,2.7,29.331,45,DRAG
85.1137,49.1039,2.8,29.1414,45,DRAG
88.0154,49.3729,2.9,28.9856,45,DRAG
90.9089,49.5431,3,28.8638,45,DRAG
93.7944,49.6147,3.1,28.776,45,DRAG
96.6719,49.588,3.2,28.7222,45,DRAG
99.5414,49.4632,3.3,28.7022,45,DRAG
102.403,49.2407,3.4,28.7156,45,DRAG
105.257,48.9208,3.5,28.7621,45,DRAG
108.102,48.5036,3.6,28.8411,45,DRAG
110.94,47.9894,3.7,28.9521,45,DRAG
113.77,47.3786,3.8,29.0942,45,DRAG
116.593,46.6714,3.9,29.2667,45,DRAG
119.407,45.8681,4,29.4687,45,DRAG
122.213,44.9689,4.1,29.6991,45,DRAG
125.012,43.9742,4.2,29.9571,45,DRAG
127.802,42.8842,4.3,30.2415,45,DRAG
130.584,41.6993,4.4,30.5512,45,DRAG
133.359,40.4197,4.5,30.8851,45,DRAG
136.125,39.0458,4.6,31.2421,45,DRAG
138.882,37.5779,4.7,31.621,45,DRAG
141.632,36.0162,4.8,32.0206,45,DRAG
144.373,34.3613,4.9,32.4399,45,DRAG
147.106,32.6133,5,32.8776,45,DRAG
149.83,30.7727,5.1,33.3328,45,DRAG
152.546,28.8398,5.2,33.8042,45,DRAG
155.253,26.815,5.3,34.2908,45,DRAG
157.951,24.6986,5.4,34.7917,45,DRAG
160.64,22.4912,5.5,35.3058,45,DRAG
163.32,20.1931,5.6,35.8322,45,DRAG
165.991,17.8046,5.7,36.3699,45,DRAG
168.653,15.3263,5.8,36.9181,45,DRAG
171.306,12.7586,5.9,37.4759,45,DRAG
173.949,10.1019,6,38.0425,45,DRAG
176.583,7.35663,6.1,38.6171,45,DRAG
179.207,4.52334,6.2,39.1991,45,DRAG
181.821,1.60248,6.3,39.7876,45,DRAG
183.255,0,6.4,40.382,45,DRAG
0,0,0,45,45,HEIGHT_DRAG
3.18198,3.18198,0.1,44.3118,45,HEIGHT_DRAG
6.36397,6.26586,0.2,43.4459,45,HEIGHT_DRAG
9.53238,9.23849,0.3,42.5991,45,HEIGHT_DRAG
12.6876,12.1006,0.4,41.7718,45,HEIGHT_DRAG
15.8298,14.8529,0.5,40.9643,45,HEIGHT_DRAG
18.9595,17.496,0.6,40.1771,45,HEIGHT_DRAG
22.0768,20.0306,0.7,39.4104,45,HEIGHT_DRAG
25.182,22.4574,0.8,38.6648,45,HEIGHT_DRAG
28.2756,24.7768,0.9,37.9408,45,HEIGHT_DRAG
31.3576,26.9896,1,37.2389,45,HEIGHT_DRAG
34.4284,29.0961,1.1,36.5596,45,HEIGHT_DRAG
37.4882,31.0971,1.2,35.9037,45,HEIGHT_DRAG
40.5372,32.9929,1.3,35.2718,45,HEIGHT_DRAG
43.5757,34.784,1.4,34.6644,45,HEIGHT_DRAG
46.604,36.471,1.5,34.0824,45,HEIGHT_DRAG
49.6222,38.0543,1.6,33.5264,45,HEIGHT_DRAG
52.6304,39.5343,1.7,32.9972,45,HEIGHT_DRAG
55.6291,40.9114,1.8,32.4955,45,HEIGHT_DRAG
58.6182,42.1861,1.9,32.022,45,HEIGHT_DRAG
61.5979,43.3587,2,31.5776,45,HEIGHT_DRAG
64.5686,44.4296,2.1,31.1629,45,HEIGHT_DRAG
67.5302,45.3991,2.2,30.7786,45,HEIGHT_DRAG
70.483,46.2677,2.3,30.4254,45,HEIGHT_DRAG
73.427,47.0356,2.4,30.1039,45,HEIGHT_DRAG
76.3625,47.7031,2.5,29.8148,45,HEIGHT_DRAG
79.2894,48.2706,2.6,29.5585,45,HEIGHT_DRAG
82.208,48.7384,2.7,29.3354,45,HEIGHT_DRAG
85.1183,49.1068,2.8,29.1459,45,HEIGHT_DRAG
88.0205,49.376,2.9,28.9902,45,HEIGHT_DRAG
90.9145,49.5464,3,28.8685,45,HEIGHT_DRAG
93.8004,49.6182,3.1,28.7809,45,HEIGHT_DRAG
96.6784,49.5917,3.2,28.7272,45,HEIGHT_DRAG
