x,y,t,v,angle
0,0,0,45,45
0,0,0.1,45,45
3.18198,3.13293,0.2,44.3118,45
6.36397,6.16776,0.3,43.6347,45
9.54595,9.10449,0.4,42.9694,45
12.7279,11.9431,0.5,42.3164,45
15.9099,14.6836,0.6,41.6762,45
19.0919,17.3261,0.7,41.0495,45
22.2739,19.8704,0.8,40.4369,45
25.4559,22.3166,0.9,39.839,45
28.6378,24.6648,1,39.2566,45
31.8198,26.9148,1.1,38.6902,45
35.0018,29.0667,1.2,38.1407,45
38.1838,31.1205,1.3,37.6087,45
41.3658,33.0763,1.4,37.0951,45
44.5478,34.9339,1.5,36.6005,45
47.7297,36.6934,1.6,36.1258,45
50.9117,38.3549,1.7,35.6718,45
54.0937,39.9182,1.8,35.2393,45
57.2757,41.3834,1.9,34.829,45
60.4577,42.7505,2,34.4418,45
63.6397,44.0196,2.1,34.0784,45
66.8216,45.1905,2.2,33.7396,45
70.0036,46.2633,2.3,33.4262,45
73.1856,47.2381,2.4,33.1389,45
76.3676,48.1147,2.5,32.8784,45
79.5496,48.8932,2.6,32.6453,45
82.7315,49.5736,2.7,32.4402,45
85.9135,50.156,2.8,32.2636,45
89.0955,50.6402,2.9,32.116,45
92.2775,51.0263,3,31.9979,45
95.4595,51.3144,3.1,31.9094,45
98.6415,51.5043,3.2,31.851,45
101.823,51.5961,3.3,31.8227,45
105.005,51.5898,3.4,31.8246,45
108.187,51.4855,3.5,31.8568,45
111.369,51.283,3.6,31.9191,45
114.551,50.9824,3.7,32.0113,45
117.733,50.5838,3.8,32.1333,45
120.915,50.087,3.9,32.2846,45
124.097,49.4921,4,32.4648,45
127.279,48.7991,4.1,32.6736,45
130.461,48.0081,4.2,32.9102,45
133.643,47.1189,4.3,33.1742,45
136.825,46.1316,4.4,33.4649,45
140.007,45.0462,4.5,33.7815,45
143.189,43.8628,4.6,34.1235,45
146.371,42.5812,4.7,34.49,45
149.553,41.2015,4.8,34.8802,45
152.735,39.7238,4.9,35.2933,45
155.917,38.1479,5,35.7287,45
159.099,36.4739,5.1,36.1854,45
162.281,34.7018,5.2,36.6626,45
165.463,32.8317,5.3,37.1597,45
168.645,30.8634,5.4,37.6757,45
171.827,28.797,5.5,38.21,45
175.009,26.6326,5.6,38.7617,45
178.191,24.37,5.7,39.3302,45
181.373,22.0093,5.8,39.9146,45
184.555,19.5505,5.9,40.5144,45
187.737,16.9937,6,41.1289,45
190.919,14.3387,6.1,41.7573,45
194.101,11.5856,6.2,42.3992,45
197.283,8.73446,6.3,43.0538,45
200.465,5.78519,6.4,43.7206,45
203.647,2.73782,6.5,44.3991,45
206.506,0,6.6,45.0888,45
