x,y,t,v,angle,traj
0,0,0,45,45,1
0,0,0.1,45,45,1
3.18198,3.13293,0.2,44.3118,45,1
6.36397,6.16776,0.3,43.6347,45,1
9.54595,9.10449,0.4,42.9694,45,1
12.7279,11.9431,0.5,42.3164,45,1
15.9099,14.6836,0.6,41.6762,45,1
19.0919,17.3261,0.7,41.0495,45,1
22.2739,19.8704,0.8,40.4369,45,1
25.4559,22.3166,0.9,39.839,45,1
28.6378,24.6648,1,39.2566,45,1
31.8198,26.9148,1.1,38.6902,45,1
35.0018,29.0667,1.2,38.1407,45,1
38.1838,31.1205,1.3,37.6087,45,1
41.3658,33.0763,1.4,37.0951,45,1
44.5478,34.9339,1.5,36.6005,45,1
47.7297,36.6934,1.6,36.1258,45,1
50.9117,38.3549,1.7,35.6718,45,1
54.0937,39.9182,1.8,35.2393,45,1
57.2757,41.3834,1.9,34.829,45,1
60.4577,42.7505,2,34.4418,45,1
63.6397,44.0196,2.1,34.0784,45,1
66.8216,45.1905,2.2,33.7396,45,1
70.0036,46.2633,2.3,33.4262,45,1
73.1856,47.2381,2.4,33.1389,45,1
76.3676,48.1147,2.5,32.8784,45,1
79.5496,48.8932,2.6,32.6453,45,1
82.7315,49.5736,2.7,32.4402,45,1
85.9135,50.156,2.8,32.2636,45,1
89.0955,50.6402,2.9,32.116,45,1
92.2775,51.0263,3,31.9979,45,1
95.4595,51.3144,3.1,31.9094,45,1
98.6415,51.5043,3.2,31.851,45,1
101.823,51.5961,3.3,31.8227,45,1
105.005,51.5898,3.4,31.8246,45,1
108.187,51.4855,3.5,31.8568,45,1
111.369,51.283,3.6,31.9191,45,1
114.551,50.9824,3.7,32.0113,45,1
117.733,50.5838,3.8,32.1333,45,1
120.915,50.087,3.9,32.2846,45,1
124.097,49.4921,4,32.4648,45,1
127.279,48.7991,4.1,32.6736,45,1
130.461,48.0081,4.2,32.9102,45,1
133.643,47.1189,4.3,33.1742,45,1
136.825,46.1316,4.4,33.4649,45,1
140.007,45.0462,4.5,33.7815,45,1
143.189,43.8628,4.6,34.1235,45,1
146.371,42.5812,4.7,34.49,45,1
149.553,41.2015,4.8,34.8802,45,1
152.735,39.7238,4.9,35.2933,45,1
155.917,38.1479,5,35.7287,45,1
159.099,36.4739,5.1,36.1854,45,1
162.281,34.7018,5.2,36.6626,45,1
165.463,32.8317,5.3,37.1597,45,1
168.645,30.8634,5.4,37.6757,45,1
171.827,28.797,5.5,38.21,45,1
175.009,26.6326,5.6,38.7617,45,1
178.191,24.37,5.7,39.3302,45,1
181.373,22.0093,5.8,39.9146,45,1
184.555,19.5505,5.9,40.5144,45,1
187.737,16.9937,6,41.1289,45,1
190.919,14.3387,6.1,41.7573,45,1
194.101,11.5856,6.2,42.3992,45,1
197.283,8.73446,6.3,43.0538,45,1
200.465,5.78519,6.4,43.7206,45,1
203.647,2.73782,6.5,44.3991,45,1
206.506,0,6.6,45.0888,45,1
0,0,0,45,46,2
0,0,0.1,45,46,2
3.12596,3.18798,0.2,44.2996,46,2
6.25193,6.27785,0.3,43.61,46,2
9.37789,9.26963,0.4,42.9317,46,2
12.5039,12.1633,0.5,42.2653,46,2
15.6298,14.9589,0.6,41.6114,46,2
18.7558,17.6564,0.7,40.9705,46,2
21.8818,20.2557,0.8,40.3433,46,2
25.0077,22.757,0.9,39.7304,46,2
28.1337,25.1602,1,39.1326,46,2
31.2596,27.4653,1.1,38.5504,46,2
34.3856,29.6722,1.2,37.9846,46,2
37.5116,31.7811,1.3,37.436,46,2
40.6375,33.7919,1.4,36.9053,46,2
43.7635,35.7046,1.5,36.3934,46,2
46.8895,37.5192,1.6,35.9009,46,2
50.0154,39.2356,1.7,35.4288,46,2
53.1414,40.854,1.8,34.9778,46,2
56.2674,42.3743,1.9,34.5488,46,2
59.3933,43.7965,2,34.1425,46,2
62.5193,45.1205,2.1,33.76,46,2
65.6453,46.3465,2.2,33.4018,46,2
68.7712,47.4744,2.3,33.0689,46,2
71.8972,48.5042,2.4,32.762,46,2
75.0232,49.4358,2.5,32.4818,46,2
78.1491,50.2694,2.6,32.2291,46,2
81.2751,51.0049,2.7,32.0044,46,2
84.4011,51.6423,2.8,31.8085,46,2
87.527,52.1816,2.9,31.6417,46,2
90.653,52.6227,3,31.5046,46,2
93.7789,52.9658,3.1,31.3976,46,2
96.9049,53.2108,3.2,31.321,46,2
100.031,53.3577,3.3,31.275,46,2
103.157,53.4064,3.4,31.2596,46,2
106.283,53.3571,3.5,31.2751,46,2
109.409,53.2097,3.6,31.3213,46,2
112.535,52.9642,3.7,31.3981,46,2
115.661,52.6205,3.8,31.5053,46,2
118.787,52.1788,3.9,31.6426,46,2
121.913,51.639,4,31.8095,46,2
125.039,51.0011,4.1,32.0056,46,2
128.165,50.2651,4.2,32.2304,46,2
131.291,49.4309,4.3,32.4833,46,2
134.416,48.4987,4.4,32.7636,46,2
137.542,47.4684,4.5,33.0707,46,2
140.668,46.34,4.6,33.4037,46,2
143.794,45.1134,4.7,33.762,46,2
146.92,43.7888,4.8,34.1447,46,2
150.046,42.3661,4.9,34.5511,46,2
153.172,40.8453,5,34.9802,46,2
156.298,39.2263,5.1,35.4313,46,2
159.424,37.5093,5.2,35.9036,46,2
162.55,35.6942,5.3,36.3962,46,2
165.676,33.781,5.4,36.9082,46,2
168.802,31.7697,5.5,37.439,46,2
171.928,29.6602,5.6,37.9877,46,2
175.054,27.4527,5.7,38.5536,46,2
178.18,25.1471,5.8,39.1358,46,2
181.306,22.7434,5.9,39.7338,46,2
184.432,20.2415,6,40.3468,46,2
187.558,17.6416,6.1,40.974,46,2
190.684,14.9436,6.2,41.615,46,2
193.81,12.1475,6.3,42.269,46,2
196.936,9.25325,6.4,42.9354,46,2
200.062,6.26093,6.5,43.6138,46,2
203.188,3.1705,6.6,44.3034,46,2
206.395,0,6.7,45.0039,46,2
0,0,0,45,47,3
0,0,0.1,45,47,3
3.06899,3.24204,0.2,44.2876,47,3
6.13799,6.38598,0.3,43.5856,47,3
9.20698,9.43182,0.4,42.8946,47,3
12.276,12.3796,0.5,42.2151,47,3
15.345,15.2292,0.6,41.5476,47,3
18.414,17.9807,0.7,40.8928,47,3
21.483,20.6342,0.8,40.2512,47,3
24.552,23.1895,0.9,39.6235,47,3
27.621,25.6468,1,39.0104,47,3
30.6899,28.0059,1.1,38.4126,47,3
33.7589,30.2669,1.2,37.8307,47,3
36.8279,32.4299,1.3,37.2656,47,3
39.8969,34.4947,1.4,36.718,47,3
42.9659,36.4615,1.5,36.1888,47,3
46.0349,38.3301,1.6,35.6786,47,3
49.1039,40.1006,1.7,35.1884,47,3
52.1729,41.7731,1.8,34.719,47,3
55.2419,43.3474,1.9,34.2713,47,3
58.3109,44.8237,2,33.8461,47,3
61.3799,46.2018,2.1,33.4443,47,3
64.4489,47.4818,2.2,33.0667,47,3
67.5179,48.6638,2.3,32.7142,47,3
70.5869,49.7476,2.4,32.3875,47,3
73.6559,50.7333,2.5,32.0876,47,3
76.7249,51.621,2.6,31.815,47,3
79.7939,52.4105,2.7,31.5706,47,3
82.8629,53.102,2.8,31.3551,47,3
85.9319,53.6953,2.9,31.1689,47,3
89.0009,54.1905,3,31.0126,47,3
92.0698,54.5877,3.1,30.8867,47,3
95.1388,54.8867,3.2,30.7916,47,3
98.2078,55.0877,3.3,30.7275,47,3
101.277,55.1905,3.4,30.6947,47,3
104.346,55.1952,3.5,30.6931,47,3
107.415,55.1019,3.6,30.723,47,3
110.484,54.9104,3.7,30.784,47,3
113.553,54.6209,3.8,30.8762,47,3
116.622,54.2332,3.9,30.9991,47,3
119.691,53.7474,4,31.1525,47,3
122.76,53.1636,4.1,31.3358,47,3
125.829,52.4816,4.2,31.5485,47,3
128.898,51.7016,4.3,31.7902,47,3
131.967,50.8234,4.4,32.06,47,3
135.036,49.8471,4.5,32.3574,47,3
138.105,48.7728,4.6,32.6815,47,3
141.174,47.6003,4.7,33.0315,47,3
144.243,46.3298,4.8,33.4067,47,3
147.312,44.9611,4.9,33.8063,47,3
150.381,43.4943,5,34.2292,47,3
153.45,41.9295,5.1,34.6748,47,3
156.519,40.2665,5.2,35.1422,47,3
159.588,38.5055,5.3,35.6304,47,3
162.657,36.6463,5.4,36.1386,47,3
165.726,34.689,5.5,36.6661,47,3
168.795,32.6337,5.6,37.2119,47,3
171.864,30.4802,5.7,37.7754,47,3
174.933,28.2287,5.8,38.3556,47,3
178.002,25.879,5.9,38.9519,47,3
181.071,23.4312,6,39.5636,47,3
184.14,20.8854,6.1,40.1899,47,3
187.209,18.2414,6.2,40.8302,47,3
190.278,15.4994,6.3,41.4838,47,3
193.347,12.6592,6.4,42.15,47,3
196.416,9.72093,6.5,42.8284,47,3
199.485,6.68457,6.6,43.5184,47,3
202.554,3.55011,6.7,44.2193,47,3
205.623,0.317549,6.8,44.9307,47,3
205.924,0,6.9,45.6521,47,3
0,0,0,45,48,4
0,0,0.1,45,48,4
3.01109,3.2951,0.2,44.2758,48,4
6.02218,6.4921,0.3,43.5617,48,4
9.03327,9.591,0.4,42.8582,48,4
12.0444,12.5918,0.5,42.1657,48,4
15.0555,15.4945,0.6,41.4849,48,4
18.0665,18.2991,0.7,40.8163,48,4
21.0776,21.0056,0.8,40.1606,48,4
24.0887,23.614,0.9,39.5183,48,4
27.0998,26.1243,1,38.8901,48,4
30.1109,28.5365,1.1,38.2768,48,4
33.122,30.8506,1.2,37.6791,48,4
36.1331,33.0666,1.3,37.0976,48,4
39.1442,35.1845,1.4,36.5333,48,4
42.1553,37.2043,1.5,35.9868,48,4
45.1664,39.126,1.6,35.4591,48,4
48.1774,40.9496,1.7,34.951,48,4
51.1885,42.6751,1.8,34.4632,48,4
54.1996,44.3025,1.9,33.9968,48,4
57.2107,45.8318,2,33.5526,48,4
60.2218,47.263,2.1,33.1316,48,4
63.2329,48.5961,2.2,32.7345,48,4
66.244,49.8311,2.3,32.3622,48,4
69.2551,50.968,2.4,32.0157,48,4
72.2662,52.0068,2.5,31.6958,48,4
75.2773,52.9475,2.6,31.4033,48,4
78.2883,53.7901,2.7,31.139,48,4
81.2994,54.5346,2.8,30.9036,48,4
84.3105,55.181,2.9,30.6977,48,4
87.3216,55.7293,3,30.522,48,4
90.3327,56.1795,3.1,30.3769,48,4
93.3438,56.5316,3.2,30.263,48,4
96.3549,56.7856,3.3,30.1806,48,4
99.366,56.9415,3.4,30.1299,48,4
102.377,56.9993,3.5,30.111,48,4
105.388,56.959,3.6,30.1242,48,4
108.399,56.8206,3.7,30.1692,48,4
111.41,56.5841,3.8,30.246,48,4
114.421,56.2495,3.9,30.3543,48,4
117.433,55.8168,4,30.4938,48,4
120.444,55.286,4.1,30.6641,48,4
123.455,54.6571,4.2,30.8647,48,4
126.466,53.9301,4.3,31.0949,48,4
129.477,53.105,4.4,31.3541,48,4
132.488,52.1818,4.5,31.6416,48,4
135.499,51.1605,4.6,31.9567,48,4
138.51,50.0411,4.7,32.2985,48,4
141.521,48.8236,4.8,32.6662,48,4
144.532,47.508,4.9,33.0589,48,4
147.543,46.0943,5,33.4758,48,4
150.555,44.5825,5.1,33.916,48,4
153.566,42.9726,5.2,34.3785,48,4
156.577,41.2646,5.3,34.8624,48,4
159.588,39.4585,5.4,35.367,48,4
162.599,37.5543,5.5,35.8913,48,4
165.61,35.552,5.6,36.4345,48,4
168.621,33.4516,5.7,36.9957,48,4
171.632,31.2531,5.8,37.5741,48,4
174.643,28.9565,5.9,38.169,48,4
177.654,26.5618,6,38.7796,48,4
180.665,24.069,6.1,39.4052,48,4
183.676,21.4781,6.2,40.045,48,4
186.688,18.7891,6.3,40.6984,48,4
189.699,16.002,6.4,41.3647,48,4
192.71,13.1168,6.5,42.0434,48,4
195.721,10.1335,6.6,42.7338,48,4
198.732,7.05207,6.7,43.4355,48,4
201.743,3.87257,6.8,44.1477,48,4
204.754,0.594972,6.9,44.8701,48,4
205.301,0,7,45.6022,48,4
0,0,0,45,49,5
0,0,0.1,45,49,5
2.95227,3.34714,0.2,44.2643,49,5
5.90454,6.59618,0.3,43.5383,49,5
8.8568,9.74712,0.4,42.8224,49,5
11.8091,12.8,0.5,42.1173,49,5
14.7613,15.7547,0.6,41.4233,49,5
17.7136,18.6113,0.7,40.7412,49,5
20.6659,21.3699,0.8,40.0715,49,5
23.6181,24.0303,0.9,39.4148,49,5
26.5704,26.5927,1,38.7718,49,5
29.5227,29.0569,1.1,38.1432,49,5
32.4749,31.4231,1.2,37.5297,49,5
35.4272,33.6911,1.3,36.9321,49,5
38.3795,35.861,1.4,36.3512,49,5
41.3318,37.9329,1.5,35.7877,49,5
44.284,39.9066,1.6,35.2425,49,5
47.2363,41.7823,1.7,34.7165,49,5
50.1886,43.5598,1.8,34.2105,49,5
53.1408,45.2392,1.9,33.7255,49,5
56.0931,46.8206,2,33.2623,49,5
59.0454,48.3038,2.1,32.8219,49,5
61.9976,49.689,2.2,32.4053,49,5
64.9499,50.976,2.3,32.0133,49,5
67.9022,52.1649,2.4,31.6469,49,5
70.8544,53.2558,2.5,31.3069,49,5
73.8067,54.2485,2.6,30.9943,49,5
76.759,55.1432,2.7,30.7098,49,5
79.7112,55.9397,2.8,30.4543,49,5
82.6635,56.6381,2.9,30.2285,49,5
85.6158,57.2385,3,30.033,49,5
88.568,57.7407,3.1,29.8685,49,5
91.5203,58.1449,3.2,29.7355,49,5
94.4726,58.4509,3.3,29.6343,49,5
97.4248,58.6589,3.4,29.5654,49,5
100.377,58.7687,3.5,29.5289,49,5
103.329,58.7804,3.6,29.525,49,5
106.282,58.6941,3.7,29.5537,49,5
109.234,58.5096,3.8,29.6149,49,5
112.186,58.2271,3.9,29.7083,49,5
115.138,57.8464,4,29.8338,49,5
118.091,57.3676,4.1,29.9908,49,5
121.043,56.7908,4.2,30.1789,49,5
123.995,56.1158,4.3,30.3975,49,5
126.948,55.3428,4.4,30.646,49,5
129.9,54.4716,4.5,30.9236,49,5
132.852,53.5023,4.6,31.2295,49,5
135.804,52.435,4.7,31.563,49,5
138.757,51.2695,4.8,31.9232,49,5
141.709,50.006,4.9,32.3092,49,5
144.661,48.6443,5,32.72,49,5
